venue,citacoes,estrato,tipo,sigla_ou_issn,nome_qualis,como
WIREs Data. Mining. Knowl. Discov.,1,A1,periódico,1942-4787,WILEY INTERDISCIPLINARY REVIEWS: DATA MINING AND KNOWLEDGE DISCOVERY,nome
International Conference on Digital Information Processing and Communications,1,,,,,não listado
Online information review (Print),1,,,,,não listado
International Journal of Manufacturing Technology and Management (IJMTM),1,,,,,não listado
Learning Software Organizations,1,,,,,não listado
Software Process: Improvement and Practice,1,,,,,não listado
MoDaST,1,,,,,não listado
World Congress on Formal Methods,1,,,,,não listado
The 2nd International Conference on Software Engineering and Data Mining,1,,,,,não listado
2013 IEEE 4th International Conference on Software Engineering and Service Science,1,A4,evento,ICSESS,International Conference on Software Engineering and Service Science,nome
Technological Ecosystem for Enhancing Multiculturality,1,A3,evento,TEEM,Technological Ecosystems for Enhancing Multiculturality,nome aproximado
"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops",1,,,,,workshop/trilha
"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)",1,,,,,não listado
2018 Second International Conference on Green Computing and Internet of Things (ICGCIoT),1,,,,,não listado
International Journal of Information Management,1,A1,periódico,0268-4012,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,ISSN
International Conference Knowledge Engineering and Knowledge Management,1,,,,,não listado
2025 ASEE Annual Conference &amp; Exposition  Proceedings,1,,,,,não listado
Figshare,1,,,,,não listado
Comput. Educ.,1,,,,,não listado
International Journal for Innovation Education and Research,1,C,periódico,2411-3123,INTERNATIONAL JOURNAL FOR INNOVATION EDUCATION AND RESEARCH,ISSN
Scalable Computing : Practice and Experience,1,,,,,não listado
Computer and Information Science,1,,,,,não listado
"2014 International Conference on Parallel, Distributed and Grid Computing",1,,,,,não listado
International Conference on Cloud Computing and Big Data,1,,,,,não listado
Cloud Computing Applications and Techniques for E-Commerce,1,,,,,não listado
Workshop on Software-intensive Business,1,,,,,workshop/trilha
International Conference on Swarm Intelligence,1,B1,evento,ICSI,International Conference on Swarm Intelligence,nome
Humanities and Social Sciences Communications,1,A1,periódico,2662-9992,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,ISSN
"Proceedings. 11th IEEE International Requirements Engineering Conference, 2003.",1,A2,evento,RE,IEEE International Requirements Engineering Conference,nome
Int. J. Knowl. Based Organ.,1,,,,,não listado
,1,A1,periódico,0192-8651,JOURNAL OF COMPUTATIONAL CHEMISTRY,nome
Disability and Rehabilitation: Assistive Technology,1,A1,periódico,1748-3115,DISABILITY AND REHABILITATION: ASSISTIVE TECHNOLOGY,nome
Data-Centric Systems and Applications,1,,,,,não listado
"Anais do II Workshop-Escola de Sistemas de Agentes, seus Ambientes e Aplicações (WESAAC 2008)",1,,,,,workshop/trilha
Software Project Management in a Changing World,1,,,,,não listado
JURNAL REKAYASA INDUSTRI (JRI),1,,,,,não listado
"Anais da XIII Escola Regional de Computação do Ceará, Maranhão e Piauí (ERCEMAPI 2025)",1,,,,,não listado
International Conference on Applied Human Factors and Ergonomics,1,,,,,não listado
"2025 6th International Conference on Communication, Computing & Industry 6.0 (C2I6)",1,,,,,não listado
Discover Sustainability,1,,,,,não listado
SIAP,1,,,,,não listado
Organizacija,1,,,,,não listado
European Conference on Games Based Learning,1,,,,,não listado
Information Management and Business Review,1,,,,,não listado
bioRxiv,1,,,,,não listado
XVII Brazilian Symposium on Information Systems,1,A4,evento,SBSI,Simpósio Brasileiro de Sistemas de Informação,apelido
2019 IEEE International Conference on Communications Workshops (ICC Workshops),1,,,,,workshop/trilha
CCF Transactions on High Performance Computing,1,,,,,não listado
"Tenth Asia-Pacific Software Engineering Conference, 2003.",1,,,,,não listado
Journal of electronic testing,1,B2,periódico,0923-8174,JOURNAL OF ELECTRONIC TESTING,ISSN
UK Academy for Information Systems Annual Conference,1,,,,,não listado
Revista Electrónica de Investigación en Educación en Ciencias,1,A2,periódico,1850-6666,REVISTA ELECTRÓNICA DE INVESTIGACIÓN EN EDUCACIÓN EN CIENCIAS (EN LÍNEA),ISSN
TechTrends,1,,,,,não listado
2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW),1,,,,,workshop/trilha
"2023 International Conference on Informatics Engineering, Science & Technology (INCITEST)",1,,,,,não listado
Jornadas Iberoamericanas de Ingeniería de Software e Ingeniería del Conocimiento,1,,,,,não listado
BMC Public Health,1,A1,periódico,1471-2458,BMC PUBLIC HEALTH (ONLINE),ISSN
Revista Brasileira de Engenharia de Biossistemas,1,,,,,não listado
Advances in Mechanical Engineering,1,,,,,não listado
International Conference on Computer Systems and Technologies,1,,,,,não listado
International Journal of Agricultural and Environmental Information Systems,1,,,,,não listado
Advancing Women in Leadership Journal,1,,,,,não listado
European Conference on Social Media,1,,,,,não listado
ICSOFT/ENASE,1,,,,,não listado
2010 Fourth International Conference on Digital Society,1,,,,,não listado
Online World Conference on Soft Computing in Industrial Applications,1,,,,,não listado
International Journal of Education in Mathematics Science and Technology,1,,,,,não listado
International Symposium on Modelling and Implementation of Complex Systems,1,,,,,não listado
Congreso Internacional de Tecnologías e Innovación,1,,,,,não listado
"Proceedings of the 2004 Winter Simulation Conference, 2004.",1,A3,evento,WSC,Winter Simulation Conference,nome
International Journal of Scientific Research in Computer Science Engineering and Information Technology,1,,,,,não listado
2017 International Conference on Computing Networking and Informatics (ICCNI),1,,,,,não listado
Simulation modelling practice and theory,1,A1,periódico,1569-190X,SIMULATION MODELLING PRACTICE AND THEORY,ISSN
Proceedings 2026 International Fuzzing Workshop,1,,,,,workshop/trilha
International Conference on Auditory Display,1,,,,,não listado
,1,A1,periódico,0307-904X,APPLIED MATHEMATICAL MODELLING,nome
PeerJ Preprints,1,,,,,não listado
IEEE Global Humanitarian Technology Conference,1,,,,,não listado
MRC@IJCAI,1,,,,,workshop/trilha
2026 IEEE Cloud Summit,1,B2,evento,IEEECloudS,IEEE Cloud Summit,nome
IEEE Computational Intelligence Magazine,1,,,,,não listado
IEEE Congress on Evolutionary Computation,1,A1,evento,CEC,IEEE Congress on Evolutionary Computation,nome
IEEE International Conference on Formal Engineering Methods,1,A4,evento,ICFEM,International Conference on Formal Engineering Methods,nome
"Proceedings of the Second International Conference on Software Engineering and Formal Methods, 2004. SEFM 2004.",1,,,,,não listado
Cognitive Systems Research,1,A3,periódico,1389-0417,COGNITIVE SYSTEMS RESEARCH,ISSN
Frontiers in Neuroscience,1,A3,periódico,1662-453X,FRONTIERS IN NEUROSCIENCE,ISSN
Artif. Intell. Medicine,1,A1,periódico,0933-3657,ARTIFICIAL INTELLIGENCE IN MEDICINE (PRINT),nome
Proceedings Fifth European Conference on Software Maintenance and Reengineering,1,,,,,não listado
Business Process Management Journal,1,A1,periódico,1463-7154,BUSINESS PROCESS MANAGEMENT JOURNAL,ISSN
IEEE International Conference on Industry Applications,1,B2,evento,INDUSCON,International Conference on Industry Applications,nome
International Workshop on Socio-Technical Perspective in IS Development,1,,,,,workshop/trilha
Proceedings Fifth IEEE International Symposium on Requirements Engineering,1,,,,,não listado
SBES Companion,1,,,,,workshop/trilha
BPMDS/EMMSAD@CAiSE,1,,,,,workshop/trilha
International Conference on Wirtschaftsinformatik,1,,,,,não listado
EOMAS@CAiSE,1,,,,,workshop/trilha
Revista Sociedade Científica,1,B2,periódico,2595-8402,REVISTA SOCIEDADE CIENTÍFICA,ISSN
Empirical Studies on the Development of Executable Business Processes,1,,,,,não listado
Workshop on Information Integration on the Web,1,,,,,workshop/trilha
European Conference on Information Systems,1,A1,evento,ECIS,European Conference on Information Systems,nome
International Journal of Computer Science and Engineering,1,,,,,não listado
International Journal of Information Technology and Computer Science,1,,,,,não listado
Tenth International Workshop on Software Specification and Design. IWSSD-10 2000,1,,,,,workshop/trilha
2015 IEEE Fifth International Workshop on Requirements Patterns (RePa),1,,,,,workshop/trilha
"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation",1,,,,,não listado
Online Journal of Public Health Informatics,1,,,,,não listado
International journal of innovative research and scientific studies,1,,,,,não listado
Jurnal Online Informatika,1,,,,,não listado
SPETP@SPICE,1,,,,,workshop/trilha
International Symposium on Computers and Communications,1,A2,evento,ISCC,International Symposium on Computers and Communications,nome
Journal of Research and Practice in Information Technology,1,,,,,não listado
"Journal of Telecommunication, Electronic and Computer Engineering",1,,,,,não listado
Grid and Pervasive Computing,1,,,,,não listado
Obj. Logiciel Base données Réseaux,1,,,,,não listado
Novatio : Journal of Management Technology and Innovation,1,,,,,não listado
Charity,1,,,,,não listado
2008 34th Euromicro Conference Software Engineering and Advanced Applications,1,A3,evento,SEAA,Euromicro Conference on Software Engineering and Advanced Applications,nome aproximado
Hybrid Artificial Intelligence Systems,1,,,,,não listado
MSSiS,1,B4,evento,MSSIS,Workshop deModelagem e Simulação de Sistemas Intensivos em Software,sigla
"2026 Innovations in Machine, Engineering, and Digital Conference (IMED)",1,,,,,não listado
Journal of Grid Computing,1,A2,periódico,1570-7873,JOURNAL OF GRID COMPUTING,ISSN
Latin American Test Symposium,1,B1,evento,LATS,IEEE Latin American Test Symposium,nome
Proceedings of the 31st Symposium Design for X (DFX2020),1,,,,,não listado
International Conference for Young Computer Scientists,1,,,,,não listado
Brazilian Conference on Intelligent Systems,1,A3,evento,BRACIS,Brazilian Conference on Intelligent Systems,nome
Communicating Process Architectures Conference,1,,,,,não listado
International Journal on Digital Libraries,1,A2,periódico,1432-5012,INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES (PRINT),nome
2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,1,A1,evento,ICSE,International Conference on Software Engineering,nome
2014 IEEE Global Conference on Wireless Computing & Networking (GCWCN),1,,,,,não listado
2010 Fifth International Conference on Software Engineering Advances,1,,,,,não listado
The International Journal of Electrical Engineering & Education,1,,,,,não listado
2010 XXIX International Conference of the Chilean Computer Science Society,1,B1,evento,SCCC,International Conference of the Chilean Computer Science Society,nome
2015 IEEE/ACM 2nd International Workshop on Software Architecture and Metrics,1,,,,,workshop/trilha
Review of Economic and Business Studies,1,,,,,não listado
Anais do XII Latin American Symposium on Digital Government (LASDiGov 2025),1,,,,,não listado
International Provenance and Annotation Workshop,1,B3,evento,IPAW,International Provenance and Annotation Workshop,nome
IFIP Workshop on Advanced Software Engineering,1,,,,,workshop/trilha
Entertainment Computing,1,A3,periódico,1875-9521,ENTERTAINMENT COMPUTING,ISSN
Computers in industry (Print),1,A1,periódico,0166-3615,COMPUTERS IN INDUSTRY,ISSN
TAP@STAF,1,,,,,workshop/trilha
International Journal on Semantic Web and Information Systems (IJSWIS),1,A2,periódico,1552-6283,INTERNATIONAL JOURNAL ON SEMANTIC WEB AND INFORMATION SYSTEMS,ISSN
2025 IEEE 22nd International Conference on Software Architecture Companion (ICSA-C),1,,,,,workshop/trilha
International journal of innovative research and creative technology,1,,,,,não listado
Computers Materials & Continua,1,,,,,não listado
RULE@RDP,1,,,,,workshop/trilha
Systems Engineering in Context,1,,,,,não listado
Security and Privacy,1,A1,periódico,1540-7993,IEEE SECURITY & PRIVACY,nome
International Journal of Sustainability and Innovation in Engineering,1,,,,,não listado
2010 Fifth International Conference on Internet and Web Applications and Services,1,,,,,não listado
International Conference on Intelligent Cloud Computing,1,,,,,não listado
2020 IEEE 2nd International Workshop on Intelligent Bug Fixing (IBF),1,,,,,workshop/trilha
Proceedings of the 2020 International Conference on Big Data in Management,1,,,,,não listado
"Web, Web-Services, and Database Systems",1,,,,,não listado
International Conference on Computer and Knowledge Engineering,1,,,,,não listado
Proceedings of the 2014 IEEE 15th International Conference on Information Reuse and Integration (IEEE IRI 2014),1,,,,,não listado
13th International Workshop on Program Comprehension (IWPC'05),1,,,,,workshop/trilha
Data Technologies and Applications,1,,,,,não listado
2023 IEEE/ACM 45th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),1,B1,evento,ICSE-SEIS,International Conference on Software Engineering: Software Engineering in Society,nome
Working Conference on Virtual Enterprises,1,,,,,não listado
ROSATEA '06,1,,,,,não listado
2018 IEEE/ACM 1st International Workshop on Gender Equality in Software Engineering (GE),1,,,,,workshop/trilha
2015 IEEE/ACM 8th International Workshop on Cooperative and Human Aspects of Software Engineering,1,A4,evento,CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,nome
"Technology, Knowledge and Learning",1,A1,periódico,2211-1662,"TECHNOLOGY, KNOWLEDGE AND LEARNING",ISSN
Conducting Empirical Studies in Industry,1,,,,,não listado
Revista docencia universitaria,1,,,,,não listado
,1,B2,periódico,1665-6423,JOURNAL OF APPLIED RESEARCH AND TECHNOLOGY,nome
Software Engineering & Management,1,,,,,não listado
BMJ Open,1,,,,,não listado
"2009 Seventh ACIS International Conference on Software Engineering Research, Management and Applications",1,,,,,não listado
2010 Second International Conference on Computer Engineering and Applications,1,,,,,não listado
Artificial Intelligence,1,A1,periódico,0004-3702,ARTIFICIAL INTELLIGENCE,ISSN
Applied intelligence (Boston),1,A3,periódico,0924-669X,APPLIED INTELLIGENCE (BOSTON),nome
Journal of The Institution of Engineers (India) Series B,1,,,,,não listado
International Conference on Artificial Intelligence Testing,1,,,,,não listado
"2016 Dynamics of Systems, Mechanisms and Machines (Dynamics)",1,,,,,não listado
International Conference on Next Generation Web Services Practices,1,,,,,não listado
IEEE International Conference on Web Services,1,,,,,não listado
International Conference on Human Factors in Computing & Informatics,1,,,,,não listado
International Conference on Computer Science and Application Engineering,1,,,,,não listado
"Bioinspired Models of Network, Information, and Computing Systems",1,,,,,não listado
"International Conference on Wireless Communications, Networking and Mobile Computing",1,,,,,não listado
Workshop on Empirical Requirements Engineering (EmpiRE 2011),1,,,,,workshop/trilha
CSUR,1,,,,,não listado
International Journal of Communication Systems,1,A4,periódico,1074-5351,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS (PRINT),ISSN
,1,A1,periódico,1981-5344,PERSPECTIVAS EM CIÊNCIA DA INFORMAÇÃO,nome
Anais do XV Workshop de Sistemas de Informação (WSIS 2024),1,,,,,workshop/trilha
J. Softw. Maintenance Res. Pract.,1,,,,,não listado
2009 Eighth IEEE/ACIS International Conference on Computer and Information Science,1,,,,,não listado
Leveraging Applications of Formal Methods,1,,,,,não listado
Wireless Communications and Mobile Computing,1,C,periódico,1530-8677,WIRELESS COMMUNICATIONS AND MOBILE COMPUTING,nome
2008 IEEE International Conference on Software Testing Verification and Validation Workshop,1,,,,,workshop/trilha
International Conference on Computer and Information Technology,1,,,,,não listado
International Joint Conference on Computational Intelligence,1,,,,,não listado
2010 Seventh International Conference on the Quality of Information and Communications Technology,1,,,,,não listado
ICSOC Workshops,1,,,,,workshop/trilha
International Conferences on Contemporary Computing and Informatics,1,,,,,não listado
2012 5th International Workshop on Exception Handling (WEH),1,,,,,workshop/trilha
Heliyon,1,A2,periódico,2405-8440,HELIYON,ISSN
International Conference on Distributed Computing in Sensor Systems,1,A2,evento,DCOSS,International Conference on Distributed Computing in Sensor Systems,nome
European Conference on Modelling Foundations and Applications,1,,,,,não listado
2012 IEEE 19th International Conference and Workshops on Engineering of Computer-Based Systems,1,,,,,workshop/trilha
Advances in Business Strategy and Competitive Advantage,1,,,,,não listado
Innovations in Knowledge Management,1,,,,,não listado
CloudMDE@MoDELS,1,,,,,workshop/trilha
2019 First International Conference of Intelligent Computing and Engineering (ICOICE),1,,,,,não listado
Australian Software Engineering Conference : Proceedings,1,,,,,não listado
"Proceedings of the 28th Annual International Computer Software and Applications Conference, 2004. COMPSAC 2004.",1,,,,,não listado
International Conference on BioMedical Engineering and Informatics,1,,,,,não listado
International Symposium on Empirical Software Engineering,1,,,,,não listado
Australasian Journal of Information Systems,1,,,,,não listado
HRI Companion,1,,,,,workshop/trilha
2010 ACM/IEEE 32nd International Conference on Software Engineering,1,A1,evento,ICSE,International Conference on Software Engineering,nome
The International Journal of Advanced Manufacturing Technology,1,A2,periódico,0268-3768,"INTERNATIONAL JOURNAL, ADVANCED MANUFACTURING TECHNOLOGY",ISSN
ACM Trans. Cyber Phys. Syst.,1,A2,periódico,2378-962X,ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS,nome
International Journal of Semantic Computing,1,A2,periódico,1793-351X,INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING,nome
EMAS@AAMAS,1,,,,,workshop/trilha
"Proceedings. 10th IEEE International Workshop on Future Trends of Distributed Computing Systems, 2004. FTDCS 2004.",1,,,,,workshop/trilha
Multiagent System Technologies,1,,,,,não listado
Practical Applications of Agents and Multi-Agent Systems,1,,,,,não listado
"Proceedings. 12th IEEE International Requirements Engineering Conference, 2004.",1,A2,evento,RE,IEEE International Requirements Engineering Conference,nome
VariComp@AOSD,1,,,,,workshop/trilha
Systems and Software Variability Management,1,,,,,não listado
2011 Fifth Latin-American Symposium on Dependable Computing Workshops,1,,,,,workshop/trilha
2009 International Conference on Management and Service Science,1,,,,,não listado
2013 5th International Workshop on Software Engineering for Computational Science and Engineering (SE-CSE),1,,,,,workshop/trilha
Working Conference on Reverse Engineering,1,,,,,não listado
Anais do VII Workshop de Testes e Tolerância a Falhas (WTF 2006),1,B4,evento,WTF,Workshop de Testes e Tolerância a Falhas,nome
International journal of agent technologies and systems,1,,,,,não listado
Erlang Workshop,1,,,,,workshop/trilha
2009 10th Latin American Test Workshop,1,,,,,workshop/trilha
2008 Second International Conference on Research Challenges in Information Science,1,A4,evento,RCIS,International Conference on Research Challenges in Information Science,nome aproximado
Agent-Oriented Information Systems Workshop,1,,,,,workshop/trilha
A Contemporary Approach to Clinical Supervision,1,,,,,não listado
International Journal of Web Applications,1,,,,,não listado
2010 IEEE 34th Annual Computer Software and Applications Conference,1,,,,,não listado
Cybersecurity and Cyberforensics Conference,1,A3,evento,CCC,IEEE Conference on Computational Complexity,sigla
Scientia Et Technica,1,,,,,não listado
International Conference on e-Business,1,,,,,não listado
2007 International Joint Conference on Neural Networks,1,A1,evento,IJCNN,IEEE International Joint Conference on Neural Networks,nome
Fourth Workshop on Model-Based Development of Computer-Based Systems and Third International Workshop on Model-Based Methodologies for Pervasive and Embedded Software (MBD-MOMPES'06),1,,,,,workshop/trilha
Collaborative Software Engineering,1,,,,,não listado
Advances in Software Engineering,1,,,,,não listado
2010 Second WRI Global Congress on Intelligent Systems,1,,,,,não listado
Journal of Computers,1,,,,,não listado
WASE International Conference on Information Engineering,1,,,,,não listado
International Conference on Interaction Sciences,1,,,,,não listado
European Workshop on Software Architecture,1,,,,,workshop/trilha
International Baltic Conference on Databases and Information Systems,1,,,,,não listado
2026 IEEE 34th International Requirements Engineering Conference Workshops (REW),1,,,,,workshop/trilha
Proceedings of 2011 International Conference on Computer Science and Network Technology,1,,,,,não listado
INGENIERÍA INVESTIGA,1,,,,,não listado
CAiSE Forum,1,,,,,não listado
"International Conference on Secure and Trust Computing, Data Management and Applications",1,,,,,não listado
2007 IEEE International Conference on Software Maintenance,1,,,,,não listado
,1,A4,periódico,2237-4558,NAVUS REVISTA DE GESTÃO E TECNOLOGIA,nome
Aspect-Oriented Requirements Engineering,1,,,,,não listado
International Conference on New Trends in Information Science and Service Science,1,,,,,não listado
2011 XIII Symposium on Virtual Reality,1,,,,,não listado
workshop on Middleware for Pervasive and Ad-hoc Computing,1,,,,,workshop/trilha
International Journal of Bio-Inspired Computation (IJBIC),1,,,,,não listado
ACM International Conference on Design of Communication,1,B2,evento,SIGDOC,ACM International Conference on Design of Communication,nome
Applied Ergonomics,1,A1,periódico,0003-6870,APPLIED ERGONOMICS,ISSN
Symposium on Virtual and Augmented Reality,1,A3,evento,SVR,Symposium on Virtual and Augmented Reality,nome
,1,A2,periódico,0943-7444,KNOWLEDGE ORGANIZATION,nome
Proceedings of the 2011 International Conference on Electrical Engineering and Informatics,1,,,,,não listado
WISE Workshops,1,,,,,workshop/trilha
International Conference on Information Technology: New Generations,1,A4,evento,ITNG,International Conference on Information Technology : New Generations,nome
Apress,1,,,,,não listado
Bled eConference,1,,,,,não listado
,1,A1,evento,ICSE,International Conference on Software Engineering,nome
Ciência da Informação,1,A2,periódico,1518-8353,CIÊNCIA DA INFORMAÇÃO (ONLINE),nome
"2013 IEEE International Conference on Green Computing and Communications and IEEE Internet of Things and IEEE Cyber, Physical and Social Computing",1,,,,,não listado
Central European Journal of Computer Science,1,,,,,não listado
2010 International Conference on Computational Intelligence and Software Engineering,1,,,,,não listado
Encyclopedia,1,,,,,não listado
"International Journal of Advanced Research in Science, Communication and Technology",1,,,,,não listado
South Health and Policy,1,,,,,não listado
2009 Fourth International Conference on Software Engineering Advances,1,,,,,não listado
2009 ICSE Workshop on Aspect-Oriented Requirements Engineering and Architecture Design,1,,,,,workshop/trilha
International Conference on Industrial and Information Systems,1,,,,,não listado
GI-Fachtagung Informatik und Schule,1,,,,,não listado
IEEE Asia-Pacific Services Computing Conference,1,,,,,não listado
Computers and Education Open,1,A1,periódico,2666-5573,COMPUTERS AND EDUCATION OPEN,ISSN
EUROCON Conference,1,,,,,não listado
A-TEST@SIGSOFT FSE,1,,,,,workshop/trilha
SOAR,1,,,,,não listado
The Review,1,,,,,workshop/trilha
2013 1st International Workshop on the Engineering of Mobile-Enabled Systems (MOBS),1,,,,,workshop/trilha
Australian Software Engineering Conference,1,,,,,não listado
Scientometrics,1,A1,periódico,0138-9130,SCIENTOMETRICS,ISSN
2013 IEEE 8th International Conference on Global Software Engineering,1,,,,,não listado
AOM@AOSD,1,,,,,workshop/trilha
,1,A2,periódico,0950-5849,INFORMATION AND SOFTWARE TECHNOLOGY,nome
"2015 4th International Conference on Reliability, Infocom Technologies and Optimization (ICRITO) (Trends and Future Directions)",1,,,,,não listado
International Symposium on Symbolic Computation in Software Science,1,,,,,não listado
Ingénierie des Systèmes d'Information,1,,,,,não listado
Artificial Intelligence Methods for Software Engineering,1,,,,,não listado
2008 5th International Workshop on Model-based Methodologies for Pervasive and Embedded Software,1,,,,,workshop/trilha
Student Conference on Research and Development,1,,,,,não listado
International Conference on Mobile Web Information Systems,1,,,,,não listado
International Symposium on Information Theory,1,,,,,não listado
Computer graphics forum (Print),1,A2,periódico,1467-8659,COMPUTER GRAPHICS FORUM (ONLINE),nome
Informatics,1,C,periódico,2227-9709,INFORMATICS,ISSN
"International Symposium on Vision, Modeling, and Visualization",1,,,,,não listado
Information Visualization,1,A3,periódico,1473-8716,INFORMATION VISUALIZATION,ISSN
MISS@AOSD,1,,,,,workshop/trilha
Intelligent Systems with Applications,1,A2,periódico,2667-3053,INTELLIGENT SYSTEMS WITH APPLICATIONS (ISWA),ISSN
International Journal of Cooperative Information Systems,1,,,,,não listado
Journal of Database Management,1,A4,periódico,1063-8016,JOURNAL OF DATABASE MANAGEMENT,ISSN
Conference on Computer Supported Cooperative Work,1,A3,evento,CSCW,ACM Conference on Computer Supported Cooperative Work & Social Computing,nome
International Conference on Awareness Science and Technology,1,,,,,não listado
Journal of Environmental Management,1,A1,periódico,0301-4797,JOURNAL OF ENVIRONMENTAL MANAGEMENT,ISSN
"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing",1,,,,,não listado
International Workshop on Software Quality Assurance,1,,,,,workshop/trilha
Canadian Conference on Computer Science & Software Engineering,1,A3,evento,CASCON,Annual International Conference on Computer Science and Software Engineering,nome aproximado
"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",1,A2,evento,ICSTV,"IEEE International Conference on Software Testing, Verification and Validation",nome aproximado
International Symposium on Applied Computational Intelligence and Informatics,1,B1,evento,SACI,IEEE International Symposium on Applied Computational Intelligence and Informatics,nome
Desarrollo de Software Dirigido por Modelos,1,,,,,não listado
Journal of Problem Based Learning in Higher Education,1,,,,,não listado
QoSA/SOQUA,1,,,,,não listado
The Art and Science of Analyzing Software Data,1,,,,,não listado
FOSE,1,,,,,não listado
International Conference on Conceptual Modeling,1,A3,evento,ER,International Conference on Conceptual Modeling,nome
Relating Software Requirements and Architectures,1,,,,,não listado
Telos: Revista de Estudios Interdisciplinarios en Ciencias Sociales,1,,,,,não listado
China Communications,1,,,,,não listado
De Fermat : Jurnal Pendidikan Matematika,1,,,,,não listado
ARIMA J.,1,,,,,não listado
International journal of computer application and technology,1,A4,periódico,0952-8091,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,nome
2015 9th Malaysian Software Engineering Conference (MySEC),1,,,,,não listado
Ulusal Yazılım Mühendisliği Sempozyumu,1,,,,,não listado
"2025 International Conference on Circuits, Controls and Communications (CCUBE)",1,,,,,não listado
International Journal For Multidisciplinary Research,1,,,,,não listado
International Workshop on Agent-Oriented Software Engineering,1,,,,,workshop/trilha
2023 IEEE 3rd International Conference on Sustainable Energy and Future Electric Transportation (SEFET),1,,,,,não listado
Advanced Topics in Exception Handling Techniques,1,,,,,não listado
2019 International Conference on Electrical Engineering and Computer Science (ICECOS),1,,,,,não listado
2006 22nd IEEE International Conference on Software Maintenance,1,,,,,não listado
2019 3rd International Conference on Trends in Electronics and Informatics (ICOEI),1,,,,,não listado
Ingénierie des Systèmes d Inf.,1,,,,,não listado
Trans. Large Scale Data Knowl. Centered Syst.,1,,,,,não listado
SIGSOFT '06/FSE-14,1,,,,,não listado
SDL Forum,1,,,,,não listado
IEEE Transactions on Industrial Informatics,1,A1,periódico,1551-3203,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,ISSN
SIGMIS-CPR '13,1,,,,,não listado
SQAMIA,1,,,,,não listado
CAIS,1,,,,,não listado
Future Internet,1,C,periódico,1999-5903,FUTURE INTERNET,ISSN
2013 5th International Workshop on Modeling in Software Engineering (MiSE),1,,,,,workshop/trilha
Advances in Computer and Electrical Engineering,1,,,,,não listado
Journal of Ambient Intelligence and Smart Environments,1,A4,periódico,1876-1364,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,ISSN
International Conference on Information Systems for Crisis Response and Management,1,A4,evento,ISCRAM,International Conference on Information Systems for Crisis Response and Management,nome
Jurnal Infotel,1,,,,,não listado
International journal of engineering and technology,1,,,,,não listado
International Journal of Engineering and Advanced Technology,1,,,,,não listado
Information and Communication Technology for Intelligent Systems,1,,,,,não listado
"International Conference on Computer, Control, Informatics and its Applications",1,,,,,não listado
International Conference on Computer Science and Computational Intelligence,1,,,,,não listado
International Conference on Mixed Design of Integrated Circuits and Systems,1,,,,,não listado
Journal of Environmental Chemical Engineering,1,,,,,não listado
SGAI Conferences,1,A1,periódico,0004-3702,ARTIFICIAL INTELLIGENCE,nome
Int. J. Uncertain. Fuzziness Knowl. Based Syst.,1,,,,,não listado
2012 IEEE 36th Annual Computer Software and Applications Conference,1,,,,,não listado
PLEASE '11,1,,,,,não listado
2020 2nd International Multidisciplinary Information Technology and Engineering Conference (IMITEC),1,,,,,não listado
SBC Reviews on Computer Science,1,C,periódico,2966-3938,SBC REVIEWS ON COMPUTER SCIENCE (ONLINE),nome
Applied System Innovation,1,C,periódico,2571-5577,APPLIED SYSTEM INNOVATION,ISSN
Evolutionary Intelligence,1,A1,periódico,1864-5909,EVOLUTIONARY INTELLIGENCE,ISSN
2017 4th IEEE International Conference on Engineering Technologies and Applied Sciences (ICETAS),1,,,,,não listado
2026 International Conference on Emerging Technologies in Computing and Communication (ETCC),1,,,,,não listado
Asia Service Sciences and Software Engineering Conference,1,,,,,não listado
2015 10th International Conference on Intelligent Systems: Theories and Applications (SITA),1,,,,,não listado
2014 Second IEEE Working Conference on Software Visualization,1,,,,,não listado
Ain Shams Engineering Journal,1,,,,,não listado
2017 IEEE/ACM 2nd International Workshop on Variability and Complexity in Software Design (VACE),1,,,,,workshop/trilha
"International Conference Advances Computing, Communication and Automation",1,,,,,não listado
EuroVA@EuroVis,1,,,,,workshop/trilha
"2020 IEEE International Conference on Computing, Power and Communication Technologies (GUCON)",1,,,,,não listado
