venue,citacoes,estrato,tipo,sigla_ou_issn,nome_qualis,como
International Conference on Mobile Software Engineering and Systems,8,B2,evento,MOBILESOFT,International Conference on Mobile Software Engineering and Systems,nome
SN Computer Science,8,A2,periódico,2661-8907,SN COMPUTER SCIENCE,ISSN
CHASE@ICSE,8,,,,,workshop/trilha
Aspect-Oriented Software Development,8,,,,,não listado
Hawaii International Conference on System Sciences,8,A1,evento,HICSS,Hawaii International Conference on System Sciences,nome
IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,8,A2,periódico,1932-8540,IEEE-RITA,ISSN
Anais do XXXIV Simpósio Brasileiro de Informática na Educação (SBIE 2023),8,A3,evento,SBIE,Simpósio Brasileiro de Informática na Educação,nome
Journal of Software,8,,,,,não listado
IEEE Transactions on Education,8,A2,periódico,0018-9359,IEEE TRANSACTIONS ON EDUCATION,ISSN
The Arabian journal for science and engineering,8,A1,periódico,2193-567X,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING (IMPRESSO),nome
IEEE Global Engineering Education Conference,8,A2,evento,EDUCON,IEEE Global Engineering Education Conference,nome
European Conference on Software Maintenance and Reengineering,8,,,,,não listado
Anais Estendidos do VI Simpósio Brasileiro de Educação em Computação (EDUCOMP 2026),8,B1,evento,EDUCOMP,Simpósio Brasileiro de Educação em Computação,nome
Brazilian Symposium on Games and Digital Entertainment,8,,,,,não listado
International Conference on Robot Intelligence Technology and Applications,8,A2,periódico,1932-8540,IEEE-RITA,nome
International Conference on Advanced Information Systems Engineering,7,A2,evento,CAISE,International Conference on Advanced Information Systems Engineering,nome
Anais do XXIX Workshop sobre Educação em Computação (WEI 2021),7,A4,evento,WEI,Workshop sobre Educação em Computação,nome
International Journal of System Assurance Engineering and Management,7,,,,,não listado
Anais do XXVIII Workshop de Informática na Escola (WIE 2022),7,A4,evento,WIE,Workshop de Informática na Escola,nome
SOEN,7,,,,,não listado
2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),7,B1,evento,ICSE-SEET,ACM International Conference on Software Engineering: Software Engineering Education and Training,nome
Proc. ACM Program. Lang.,7,,,,,não listado
International Journal of Software Engineering & Applications,7,B2,periódico,0975-9018,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING & APPLICATIONS (IJSEA),ISSN
,7,C,periódico,0975-8887,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS,nome
Education sciences,7,C,periódico,2227-7102,EDUCATION SCIENCES,nome
"Anais do XI Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software (WASHES 2026)",7,B2,evento,WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",nome
IEEE Software,7,A3,periódico,0740-7459,IEEE SOFTWARE,ISSN
ER@BR,7,,,,,workshop/trilha
2022 IEEE/ACM 44th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),6,,,,,workshop/trilha
Brazilian Symposium on Programming Languages,6,A4,evento,SBLP,Brazilian Symposium on Programming Languages,nome
Anais do I Workshop de Práticas de Ciência Aberta para Engenharia de Software (OpenScienSE 2021),6,B4,evento,OPENSCIENSE,Workshop de Práticas de Ciência Aberta Para Engenharia de Software,nome
PeerJ Computer Science,6,A2,periódico,2376-5992,PEERJ COMPUTER SCIENCE,ISSN
International Conference/Workshop on Automation of Software Test,6,,,,,workshop/trilha
De Computis,6,,,,,não listado
International journal of human computer interactions,6,C,periódico,2180-1347,INTERNATIONAL JOURNAL OF HUMAN COMPUTER INTERACTION,ISSN
International Conference on Software Engineering Research and Applications,6,,,,,não listado
Caderno Pedagógico,6,C,periódico,1983-0882,CADERNO PEDAGÓGICO (LAJEADO. ONLINE),nome
"International Conference on Teaching, Assessment, and Learning for Engineering",6,,,,,não listado
,6,C,periódico,2525-3409,"RESEARCH, SOCIETY AND DEVELOPMENT",nome
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,6,A3,evento,SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,nome
PLoS ONE,6,A1,periódico,1932-6203,PLOS ONE,ISSN
Anais Estendidos do XVII Simpósio Brasileiro de Sistemas Colaborativos (SBSC Estendido 2022),6,A4,evento,SBSC,Simpósio Brasileiro de Sistemas Colaborativos,nome
International Conference on Information Technology,6,A2,evento,CIT,IEEE International Conference on Information Technology,nome
Journal of Software: Evolution and Process,6,A4,periódico,2047-7481,JOURNAL OF SOFTWARE: EVOLUTION AND PROCESS,nome
International Conference on Product Focused Software Process Improvement,6,A3,evento,PROFES,International Conference on Product-Focused Software Process Improvement,nome
Anais Estendidos do XV Congresso Brasileiro de Software: Teoria e Prática (CBSoft Estendido 2024),6,,,,,não listado
International Conference on Soft Computing and Software Engineering,6,,,,,não listado
International Conference on Software Process Improvement and Capability Determination,6,,,,,não listado
Lecture Notes in Computer Science,6,,,,,não listado
International Conference on Data and Software Engineering,6,,,,,não listado
International Symposium on Search Based Software Engineering,6,,,,,não listado
Anais do Workshop sobre Educação em Computação (WEI),6,A4,evento,WEI,Workshop sobre Educação em Computação,nome
International Journal of Information and Education Technology,5,,,,,não listado
Anais Estendidos do XI Congresso Brasileiro de Software: Teoria e Prática (CBSoft 2020),5,,,,,não listado
Journal of Computational Science and Technology,5,,,,,não listado
CENTERIS/ProjMAN/HCist,5,,,,,não listado
Applied Soft Computing,5,A1,periódico,1568-4946,APPLIED SOFT COMPUTING (PRINT),ISSN
Brazilian Symposium on Databases,5,A4,evento,SBBD,Simpósio Brasileiro de Banco de Dados,apelido
ACM Transactions on Computing Education,5,A1,periódico,1946-6226,ACM TRANSACTIONS ON COMPUTING EDUCATION,ISSN
International Conference on Software Technology: Methods and Tools,5,,,,,não listado
Esse,5,,,,,não listado
Quality of Information and Communications Technology,5,,,,,não listado
International Workshop on Software Engineering Research & Practices for the Internet of Things,5,B4,evento,SERP4IOT,International Workshop on Software Engineering Research & Practices for the Internet of Things,nome
Artificial Intelligence Review,5,A1,periódico,0269-2821,ARTIFICIAL INTELLIGENCE REVIEW,ISSN
Journal of Computer Science,5,B2,periódico,1549-3636,JOURNAL OF COMPUTER SCIENCES,ISSN
International Symposium on Service Oriented Software Engineering,5,A4,evento,SOSEC,IEEE Annual System of Systems Engineering Conference,nome
Informatics Educ.,5,,,,,não listado
Anais do XXVII Workshop de Informática na Escola (WIE 2021),5,A4,evento,WIE,Workshop de Informática na Escola,nome
"2014 Eighth Brazilian Symposium on Software Components, Architectures and Reuse",5,,,,,não listado
Quality of Information and Communications Technology,5,B1,evento,QUATIC,International Conference on Quality of Information and Communications Technology,sigla
Workshop Brasileira em Métodos Agile / Brazilian Workshop on Agile Methods,5,,,,,workshop/trilha
Frontiers in Education,5,C,periódico,2504-284X,FRONTIERS IN EDUCATION,ISSN
"2012 Sixth Brazilian Symposium on Software Components, Architectures and Reuse",5,,,,,não listado
LNCS Trans. Aspect Oriented Softw. Dev.,5,,,,,não listado
Scientific Reports,5,A1,periódico,2045-2322,SCIENTIFIC REPORTS,ISSN
Computing,5,A1,periódico,0010-485X,COMPUTING,ISSN
"Conference on Object-Oriented Programming Systems, Languages, and Applications",5,B3,evento,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",nome
International Workshop on Software Engineering for Large-Scale Multi-Agent Systems,5,,,,,workshop/trilha
"Anais do IX Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software (WASHES 2024)",5,B2,evento,WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",nome
Indonesian Journal of Electrical Engineering and Computer Science,5,,,,,não listado
International Conference on Conceptual Structures,5,B4,evento,ICCS,International Conference on Computational Science,sigla
Journal of Object Technology,5,,,,,não listado
International Conference on Open Source Systems,5,B1,evento,OSS,International Conference on Open Source Systems,nome
Internet of Things,5,A1,periódico,2542-6605,INTERNET OF THINGS,ISSN
"Proceedings of the 1st International Workshop on AI for Software Quality Evaluation - Judgment, Metrics, Benchmarks, and Beyond",4,,,,,workshop/trilha
WAIHCWS,4,B3,evento,WAIHCWS,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social,sigla
SIGSOFT FSE,4,,,,,não listado
2012 IEEE Seventh International Conference on Global Software Engineering Workshops,4,,,,,workshop/trilha
AIP Conference Proceedings,4,,,,,não listado
Confluence,4,,,,,não listado
Springer Berlin Heidelberg,4,,,,,não listado
Concurrency and Computation,4,A2,periódico,1532-0626,CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE,ISSN
Softw.,4,,,,,não listado
International Conference on Modularity,4,,,,,não listado
,4,C,periódico,2156-5570,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS (ONLINE),nome
Journal of Supercomputing,4,A2,periódico,0920-8542,JOURNAL OF SUPERCOMPUTING,ISSN
Information Systems,4,A2,periódico,0306-4379,INFORMATION SYSTEMS,ISSN
Americas Conference on Information Systems,4,A2,evento,AMCIS,Americas Conference on Information Systems,nome
Annual Conference on Innovation and Technology in Computer Science Education,4,,,,,não listado
Anais da VIII Escola Regional de Engenharia de Software (ERES 2024),4,,,,,não listado
Conference of the Centre for Advanced Studies on Collaborative Research,4,A3,evento,CASCON,Annual International Conference on Computer Science and Software Engineering,apelido
Neurocomputing,4,A1,periódico,0925-2312,NEUROCOMPUTING (AMSTERDAM),ISSN
International Conference on Computer Science and Software Engineering,4,A3,evento,CASCON,Annual International Conference on Computer Science and Software Engineering,nome aproximado
International Conference on Knowledge-Based Intelligent Information & Engineering Systems,4,,,,,não listado
International Conference on Software Engineering and Computer Systems,4,,,,,não listado
Anais do XVIII Women in Information Technology (WIT 2024),4,B1,evento,WIT,Women in Information Technology,nome
2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),4,,,,,não listado
International Symposium on Service Oriented Software Engineering,4,,,,,não listado
Integrated Spatial Databases,4,,,,,não listado
"2025 IEEE/ACM Sixth Workshop on Gender Equality, Diversity, and Inclusion in Software Engineering (GEICSE)",4,,,,,workshop/trilha
BMMDS/EMMSAD,4,,,,,não listado
International Conference on Generative Programming: Concepts and Experiences,4,B1,evento,GPCE,ACM International Conference on Generative Programming: Concepts and Experiences,nome
European Conference on Software Process Improvement,4,A4,evento,EuroSPI,European Conference on Software Process Improvement,nome
ICSSP/ICGSE,4,,,,,não listado
Anais do XXIX Simpósio Brasileiro de Informática na Educação (SBIE 2018),4,A3,evento,SBIE,Simpósio Brasileiro de Informática na Educação,nome
2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),4,,,,,workshop/trilha
Fundamental Approaches to Software Engineering,4,,,,,não listado
Informatica,4,,,,,não listado
International Conference on Software and Systems Process,4,B3,evento,ICSSP,International Conference on Software and Systems Process,nome
2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),4,B1,evento,ICSE-SEET,ACM International Conference on Software Engineering: Software Engineering Education and Training,nome
